		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW			Rain	Heat	Cool	In 	In	In 	In 	In 	In Air	Temp	Temp	Hum	Hum	Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Bar  	Rain	Rate	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	2nd	3rd	2nd	3rd	Samp	Tx 	Recept	Int.
18/05/23	11:30	15.3	16.1	15.3	91	13.8	3.2	NW	1.61	11.3	WNW	15.3	15.4	15.4	1013.5	0.00	0.0	0.064	0.000	20.3	65	13.5	20.3	11.88	1.1853	---	---	---	---	603	1	88.2	30
18/05/23	12:00	15.4	15.5	15.3	93	14.3	1.6	NW	0.80	12.9	WSW	15.4	15.7	15.7	1013.8	0.00	0.0	0.061	0.000	20.9	66	14.3	20.9	12.15	1.1824	---	---	---	---	317	1	46.3	30
18/05/23	13:00	16.4	16.6	15.3	92	15.1	3.2	W	1.61	9.7	W	16.4	16.7	16.7	1013.4	0.00	0.0	0.041	0.000	20.8	69	14.9	20.9	12.87	1.1817	---	---	---	---	1229	1	100.0	30
18/05/23	13:30	16.5	16.7	16.3	90	14.9	3.2	WNW	1.61	11.3	WSW	16.5	16.8	16.8	1013.3	0.00	0.0	0.038	0.000	20.8	68	14.7	20.9	12.57	1.1818	---	---	---	---	697	1	100.0	30
18/05/23	14:00	18.3	18.3	16.5	83	15.4	3.2	WNW	1.61	11.3	W	18.3	18.7	18.7	1013.2	0.00	0.0	0.000	0.000	20.9	67	14.5	20.9	12.36	1.1814	---	---	---	---	698	1	100.0	30
18/05/23	14:30	18.7	19.5	18.3	75	14.1	3.2	W	1.61	12.9	NW	18.7	18.8	18.8	1013.2	0.00	0.0	0.000	0.007	21.1	66	14.5	21.0	12.15	1.1809	---	---	---	---	695	1	100.0	30
18/05/23	15:00	18.5	19.4	18.4	75	14.0	4.8	NNE	2.41	14.5	NE	18.5	18.6	18.6	1013.2	0.00	0.0	0.000	0.003	21.2	66	14.6	21.1	12.15	1.1803	---	---	---	---	697	1	100.0	30
18/05/23	15:30	17.8	18.4	17.8	77	13.7	6.4	NE	3.22	16.1	N	17.8	17.9	17.9	1013.3	0.00	0.0	0.010	0.000	21.1	65	14.2	20.9	11.85	1.1813	---	---	---	---	698	1	100.0	30
18/05/23	16:00	18.1	18.3	17.8	76	13.8	4.8	NNE	2.41	17.7	N	18.1	18.1	18.1	1013.2	0.00	0.0	0.006	0.000	20.9	65	14.1	20.9	11.86	1.1817	---	---	---	---	698	1	100.0	30
18/05/23	16:30	17.9	18.4	17.9	77	13.9	6.4	NNE	3.22	16.1	NNE	17.9	18.0	18.0	1013.0	0.00	0.0	0.008	0.000	20.9	65	14.1	20.8	11.86	1.1818	---	---	---	---	697	1	100.0	30
18/05/23	17:00	17.7	18.1	17.6	79	14.0	3.2	NE	1.61	11.3	N	17.7	17.8	17.8	1013.0	0.00	0.0	0.014	0.000	20.8	65	14.0	20.8	11.86	1.1821	---	---	---	---	698	1	100.0	30
18/05/23	17:30	17.8	17.8	17.4	78	13.9	4.8	NE	2.41	14.5	NE	17.8	17.9	17.9	1013.2	0.00	0.0	0.012	0.000	20.8	64	13.8	20.7	11.66	1.1826	---	---	---	---	697	1	100.0	30
18/05/23	18:00	17.9	18.1	17.7	77	13.9	1.6	ENE	0.80	8.0	NE	17.9	18.0	18.0	1012.9	0.00	0.0	0.008	0.000	20.8	64	13.8	20.7	11.66	1.1823	---	---	---	---	694	1	100.0	30
18/05/23	18:30	17.4	18.0	17.4	79	13.8	1.6	NE	0.80	6.4	NE	17.4	17.6	17.6	1012.9	0.00	0.0	0.019	0.000	20.8	64	13.8	20.7	11.66	1.1823	---	---	---	---	697	1	100.0	30
18/05/23	19:00	17.2	17.6	17.2	80	13.7	1.6	NNE	0.80	6.4	NNE	17.2	17.3	17.3	1013.1	0.00	0.0	0.024	0.000	20.7	64	13.7	20.7	11.66	1.1831	---	---	---	---	694	1	100.0	30
